s,d_s,theta_1,d_theta_1,u,time,T
-3.120053666726597e-06,2.4136586587077384e-06,1.5701324302952457e-06,-7.204936920106663e-06,1.1946673638122555e-05,10.42500000000023,1.4434387551587283e-07
-3.1078401979874093e-06,2.471728836967399e-06,1.5343506523102235e-06,-7.108949479681283e-06,1.1614035651932111e-05,10.43000000000023,1.4046472187037524e-07
-3.0953404750263675e-06,2.5281603474493404e-06,1.499046868858045e-06,-7.013723774524024e-06,1.1286302096388303e-05,10.435000000000231,1.3664188883478192e-07
-3.0825626304406847e-06,2.582977486823843e-06,1.4642172696532896e-06,-6.919260509765875e-06,1.0963427874900451e-05,10.440000000000232,1.3287486884537904e-07
-3.0695146759068152e-06,2.6362043267238783e-06,1.4298580413019124e-06,-6.82556024314159e-06,1.0645367980007126e-05,10.445000000000233,1.2916315514904586e-07
-3.056204503304364e-06,2.687864714256669e-06,1.3959653681894224e-06,-6.732623388004742e-06,1.033207750655812e-05,10.450000000000234,1.255062419536728e-07
-3.042639885837269e-06,2.737982272581306e-06,1.3625354329249717e-06,-6.6404502164183225e-06,1.0023511664927423e-05,10.455000000000235,1.2190362457524566e-07
-3.0288284791522027e-06,2.7865804014451337e-06,1.329564417229534e-06,-6.549040861995412e-06,9.719625772765575e-06,10.460000000000235,1.1835479935698122e-07
-3.014777822454104e-06,2.8336822777944763e-06,1.2970485019359046e-06,-6.458395322847458e-06,9.420375269868499e-06,10.465000000000236,1.1485926383056121e-07
-3.0004953396190075e-06,2.8793108562440536e-06,1.2649838687650572e-06,-6.368513463985365e-06,9.125715689915431e-06,10.470000000000237,1.1141651642659297e-07
-2.9859883403037718e-06,2.9234888698502375e-06,1.233366700326144e-06,-6.279395020536734e-06,8.835602721236817e-06,10.475000000000238,1.0802605713129476e-07
-2.971264021052296e-06,2.966238830740083e-06,1.2021931810046738e-06,-6.191039600403928e-06,8.549992177969079e-06,10.480000000000238,1.0468738718335674e-07
-2.956329466398379e-06,3.007583030826718e-06,1.1714594969625125e-06,-6.1034466870760605e-06,8.268840017326988e-06,10.48500000000024,1.0140000926113687e-07
-2.9411916499653266e-06,3.047543542394188e-06,1.1411618374701504e-06,-6.016615641935174e-06,7.992102313494009e-06,10.49000000000024,9.816342721267473e-08
-2.9258574355621204e-06,3.086142218888316e-06,1.1112963957948807e-06,-5.930545707089708e-06,7.71973529882561e-06,10.49500000000024,9.497714650860378e-08
-2.9103335782754123e-06,3.1234006957948702e-06,1.0818593687567102e-06,-5.845236008364896e-06,7.4516953813108495e-06,10.500000000000242,9.184067442778166e-08
-2.8946267255577234e-06,3.159340391280623e-06,1.0528469576165378e-06,-5.760685557464369e-06,7.187939097150545e-06,10.505000000000242,8.875351955359707e-08
-2.8787434183121674e-06,3.193982506941772e-06,1.0242553694084222e-06,-5.676893254367177e-06,6.928423132229821e-06,10.510000000000243,8.571519201756952e-08
-2.8626900919729057e-06,3.2273480287629714e-06,9.960808164954926e-07,-5.5938578902692754e-06,6.673104364239854e-06,10.515000000000244,8.27252039511344e-08
